,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl. No.,Name of Regional Office,No. of Towns in the phase as on date (to be given by RO),PROGRESS OF WORK January 2026,,,,,,,,,,,,,,,,,,Blocks Inspected,,No. of towns completed in all respect,,"No. of towns dispatched to Hqrs. 
 (Zone/QC to FOD Hqrs)",,JSO/FI Involved,JSO/FI mandays worked in UFS fieldwork,JSO/FI mandays worked in office,Updated  Yes/No
,,,No. of towns completed in field during July 2022 - December 2023,No. of blocks formed in the towns mentioned in col 4,Towns in field,,,,Blocks formed in field,,Blocks finalised on QGIS,,Wards covered in field,,Wards finalised on QGIS,,IV Units formed in field,,IV Units finalised on QGIS,,,,,,,,,,,
,,,,,CompletedDuring Month,Completed Since Start,Under Survey,% Towns Completed,During Month,Since Start,During Month,Since Start,During Month,Since Start,During Month,Since Start,During Month,Since Start,During Month,Since Start,During Month,Since Start,During Month,Since Start,During Month,Since Start,During Month,During Month,During Month,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Shimla,Shimla,25,1,203,0,22,1,88.00,87,781,46,740,1,171,1,162,2,36,2,36,7,82,0,22,0,22,4,44,12,yes
Dharamshala,Shimla,16,0,0,0,13,1,81.25,33,424,40,407,2,111,2,106,0,17,1,17,3,50,0,13,0,13,3,23,6,yes
Mandi,Shimla,13,1,8,1,11,0,84.62,11,408,20,380,3,88,2,85,1,17,0,15,0,49,0,10,1,10,2,8,2,Yes
Hamirpur,Shimla,15,0,0,1,13,0,80.00,17,239,17,239,9,109,9,109,1,14,1,14,2,33,1,13,0,12,1,12,2,yes
Total,,69,2,211,2,59,2,85.51,148,1852,123,1766,15,479,14,462,4,84,4,82,12,214,1,58,1,57,10,87,22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Previous,,69,2,211,2,59,2,85.51,148,1852,123,1766,15,479,14,462,4,84,4,82,12,214,1,58,1,57,10,87,22,